,url,delegacion,colonia,antiguedad,superficie construida en m2,precio total en pesos,precio de m2,precio mediano de m2 de la colonia,precio mediano de m2 de la colonia (nuevos),precio mediano de m2 de la colonia (usados),delta,semaforo
3, http://departamento.metroscubicos.com/MLM-567573164-departamento-en-venta-cuauhtemoc-ciudad-de-mexico-distrit-_JM,Miguel Hidalgo,JUAREZ,20,123,5300000.0,43089.43089430894,53336.44385026738,53769.12582781457,45604.395604395606,-5.514741894406902,amarillo
249, http://departamento.metroscubicos.com/MLM-567669182-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,INSURGENTES SAN BORJA,41,190,6300000.0,33157.89473684211,44472.52747252748,46048.3870967742,36000.0,-7.894736842105259,amarillo
250, http://departamento.metroscubicos.com/MLM-567669253-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,ESCANDON II SECCION,41,102,4184700.0,41026.470588235294,51975.8064516129,53012.644310060474,44624.766355140186,-8.063450099140779,amarillo
253, http://departamento.metroscubicos.com/MLM-567669334-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,INSURGENTES SAN BORJA,41,180,6300000.0,35000.0,44472.52747252748,46048.3870967742,36000.0,-2.7777777777777777,amarillo
257, http://departamento.metroscubicos.com/MLM-567669344-departamento-en-venta-la-magdalena-contreras-ciudad-de-mex-_JM,La Magdalena Contreras,Pbo. NUEVO BAJO,41,250,9037811.0,36151.244,36151.244,41544.0,34927.305774834436,3.504244596064508,amarillo
258, http://departamento.metroscubicos.com/MLM-567669345-departamento-en-venta-venustiano-carranza-ciudad-de-mexico-_JM,Iztacalco,Ampl. ASTURIAS,41,80,1915000.0,23937.5,22937.5,26583.333333333336,22341.772151898735,7.142351274787533,amarillo
259, http://departamento.metroscubicos.com/MLM-567669346-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,ESCANDON II SECCION,41,102,4623100.0,45324.509803921566,51975.8064516129,53012.644310060474,44624.766355140186,1.5680607562459081,amarillo
260, http://departamento.metroscubicos.com/MLM-567669347-departamento-en-venta-venustiano-carranza-ciudad-de-mexico-_JM,Iztacalco,Ampl. ASTURIAS,41,80,1890000.0,23625.0,22937.5,26583.333333333336,22341.772151898735,5.743626062322944,amarillo
263, http://departamento.metroscubicos.com/MLM-567669352-departamento-en-venta-venustiano-carranza-ciudad-de-mexico-_JM,Iztacalco,Ampl. ASTURIAS,41,80,1975000.0,24687.5,22937.5,26583.333333333336,22341.772151898735,10.499291784702548,sobrevaluado
266, http://departamento.metroscubicos.com/MLM-567669355-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,ESCANDON II SECCION,41,104,4452950.0,42816.82692307692,51975.8064516129,53012.644310060474,44624.766355140186,-4.051426101987899,amarillo
269, http://departamento.metroscubicos.com/MLM-567669360-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,INSURGENTES SAN BORJA,41,164,5189940.0,31645.975609756097,44472.52747252748,46048.3870967742,36000.0,-12.094512195121952,naranja
270, http://departamento.metroscubicos.com/MLM-567669361-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,INSURGENTES SAN BORJA,41,243,8200000.0,33744.85596707819,44472.52747252748,46048.3870967742,36000.0,-6.2642889803383595,amarillo
271, http://departamento.metroscubicos.com/MLM-567669362-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,ESCANDON II SECCION,41,107,4989450.0,46630.3738317757,51975.8064516129,53012.644310060474,44624.766355140186,4.494382022471915,amarillo
276, http://departamento.metroscubicos.com/MLM-567669369-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,ESCANDON II SECCION,41,83,4600000.0,55421.68674698795,51975.8064516129,53012.644310060474,44624.766355140186,24.194906267792934,sobrevaluado
282, http://departamento.metroscubicos.com/MLM-567669378-departamento-en-venta-venustiano-carranza-ciudad-de-mexico-_JM,Iztacalco,Ampl. ASTURIAS,41,57,1550000.0,27192.98245614035,22937.5,26583.333333333336,22341.772151898735,21.71363252323443,sobrevaluado
285, http://departamento.metroscubicos.com/MLM-567669382-departamento-en-venta-la-magdalena-contreras-ciudad-de-mex-_JM,La Magdalena Contreras,Pbo. NUEVO BAJO,41,302,10178417.0,33703.367549668874,36151.244,41544.0,34927.305774834436,-3.504244596064508,amarillo
286, http://departamento.metroscubicos.com/MLM-567669385-departamento-en-venta-tlalpan-ciudad-de-mexico-ciudad-de-_JM,Tlalpan,LOS FRAMBOYANOS,41,217,9100000.0,41935.48387096774,33551.44742762862,27547.169811320753,31417.11229946524,33.47975291695265,sobrevaluado
287, http://departamento.metroscubicos.com/MLM-567669386-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,INSURGENTES SAN BORJA,41,175,6300000.0,36000.0,44472.52747252748,46048.3870967742,36000.0,0.0,amarillo
292, http://departamento.metroscubicos.com/MLM-567669475-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,ESCANDON II SECCION,41,114,5200000.0,45614.0350877193,51975.8064516129,53012.644310060474,44624.766355140186,2.2168603073597075,amarillo
293, http://departamento.metroscubicos.com/MLM-567669476-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,INSURGENTES SAN BORJA,41,140,5150000.0,36785.71428571428,44472.52747252748,46048.3870967742,36000.0,2.182539682539674,amarillo
295, http://departamento.metroscubicos.com/MLM-567669478-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,ESCANDON II SECCION,41,84,4500000.0,53571.42857142857,51975.8064516129,53012.644310060474,44624.766355140186,20.048647751088673,sobrevaluado
296, http://departamento.metroscubicos.com/MLM-567669479-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,ESCANDON II SECCION,41,104,5013000.0,48201.92307692308,51975.8064516129,53012.644310060474,44624.766355140186,8.0160794418834,amarillo
298, http://departamento.metroscubicos.com/MLM-567669483-departamento-en-venta-venustiano-carranza-ciudad-de-mexico-_JM,Iztacalco,Ampl. ASTURIAS,41,79,1765000.0,22341.772151898735,22937.5,26583.333333333336,22341.772151898735,0.0,amarillo
299, http://departamento.metroscubicos.com/MLM-567669485-departamento-en-venta-la-magdalena-contreras-ciudad-de-mex-_JM,La Magdalena Contreras,Pbo. NUEVO BAJO,41,296,10720829.0,36219.01689189189,36151.244,41544.0,34927.305774834436,3.6982844465150566,amarillo
300, http://departamento.metroscubicos.com/MLM-567669487-departamento-en-venta-venustiano-carranza-ciudad-de-mexico-_JM,Iztacalco,Ampl. ASTURIAS,41,58,1580000.0,27241.379310344826,22937.5,26583.333333333336,22341.772151898735,21.9302530038097,sobrevaluado
301, http://departamento.metroscubicos.com/MLM-567669488-departamento-en-venta-venustiano-carranza-ciudad-de-mexico-_JM,Iztacalco,Ampl. ASTURIAS,41,57,1550000.0,27192.98245614035,22937.5,26583.333333333336,22341.772151898735,21.71363252323443,sobrevaluado
304, http://departamento.metroscubicos.com/MLM-567669491-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,ESCANDON II SECCION,41,104,4461200.0,42896.153846153844,51975.8064516129,53012.644310060474,44624.766355140186,-3.873661758202636,amarillo
305, http://departamento.metroscubicos.com/MLM-567669492-departamento-en-venta-venustiano-carranza-ciudad-de-mexico-_JM,Iztacalco,Ampl. ASTURIAS,41,80,1990000.0,24875.0,22937.5,26583.333333333336,22341.772151898735,11.338526912181301,sobrevaluado
307, http://departamento.metroscubicos.com/MLM-567669495-departamento-en-venta-tlalpan-ciudad-de-mexico-ciudad-de-_JM,Tlalpan,LOS FRAMBOYANOS,41,395,15200000.0,38481.012658227846,33551.44742762862,27547.169811320753,31417.11229946524,22.48424454618906,sobrevaluado
311, http://departamento.metroscubicos.com/MLM-567669500-departamento-en-venta-venustiano-carranza-ciudad-de-mexico-_JM,Iztacalco,Ampl. ASTURIAS,41,79,1765000.0,22341.772151898735,22937.5,26583.333333333336,22341.772151898735,0.0,amarillo
312, http://departamento.metroscubicos.com/MLM-567669501-departamento-en-venta-la-magdalena-contreras-ciudad-de-mex-_JM,La Magdalena Contreras,Pbo. NUEVO BAJO,41,296,9848137.0,33270.73310810811,36151.244,41544.0,34927.305774834436,-4.742915692970258,amarillo
313, http://departamento.metroscubicos.com/MLM-567669502-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,ESCANDON II SECCION,41,102,4131050.0,40500.490196078434,51975.8064516129,53012.644310060474,44624.766355140186,-9.242123815818456,amarillo
316, http://departamento.metroscubicos.com/MLM-567669505-departamento-en-venta-la-magdalena-contreras-ciudad-de-mex-_JM,La Magdalena Contreras,Pbo. NUEVO BAJO,41,262,9471914.0,36152.34351145038,36151.244,41544.0,34927.305774834436,3.507392595676818,amarillo
319, http://departamento.metroscubicos.com/MLM-567669508-departamento-en-venta-venustiano-carranza-ciudad-de-mexico-_JM,Iztacalco,Ampl. ASTURIAS,41,57,1550000.0,27192.98245614035,22937.5,26583.333333333336,22341.772151898735,21.71363252323443,sobrevaluado
322, http://departamento.metroscubicos.com/MLM-567669511-departamento-en-venta-venustiano-carranza-ciudad-de-mexico-_JM,Iztacalco,Ampl. ASTURIAS,41,80,1835000.0,22937.5,22937.5,26583.333333333336,22341.772151898735,2.6664305949008478,amarillo
323, http://departamento.metroscubicos.com/MLM-567669512-departamento-en-venta-la-magdalena-contreras-ciudad-de-mex-_JM,La Magdalena Contreras,Pbo. NUEVO BAJO,41,455,13555830.0,29793.032967032967,36151.244,41544.0,34927.305774834436,-14.699882209353742,naranja
325, http://departamento.metroscubicos.com/MLM-567669514-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,INSURGENTES SAN BORJA,41,165,6150000.0,37272.72727272727,44472.52747252748,46048.3870967742,36000.0,3.5353535353535337,amarillo
326, http://departamento.metroscubicos.com/MLM-567669515-departamento-en-venta-venustiano-carranza-ciudad-de-mexico-_JM,Iztacalco,Ampl. ASTURIAS,41,79,1765000.0,22341.772151898735,22937.5,26583.333333333336,22341.772151898735,0.0,amarillo
328, http://departamento.metroscubicos.com/MLM-567669518-departamento-en-venta-venustiano-carranza-ciudad-de-mexico-_JM,Iztacalco,Ampl. ASTURIAS,41,80,1785000.0,22312.5,22937.5,26583.333333333336,22341.772151898735,-0.13101983002833045,amarillo
332, http://departamento.metroscubicos.com/MLM-567669574-departamento-en-venta-tlalpan-ciudad-de-mexico-ciudad-de-_JM,Tlalpan,LOS FRAMBOYANOS,41,167,7400000.0,44311.377245508986,33551.44742762862,27547.169811320753,31417.11229946524,41.04217097719456,sobrevaluado
336, http://departamento.metroscubicos.com/MLM-567669580-departamento-en-venta-benito-juarez-ciudad-de-mexico-ciud-_JM,Benito Jurez,ESCANDON II SECCION,41,107,4774850.0,44624.766355140186,51975.8064516129,53012.644310060474,44624.766355140186,0.0,amarillo
